extension,File Format,count,NARA Format ID
opt,MySQL Database Data Format,3897,
pyc,Python Compiled Bytecode unspecified version,3897,
dmp,Memory Dump File,3889,NF00754
dmp,Dump file,3889,
24,Unidentified,3856,
klp,Unidentified,3846,
a,Ada source code file/Library,3814,
pgw,8-bit ASCII Text,3812,
pgw,ESRI World File Format,3812,
adm,Windows Administrative Template File,3806,
mst,Windows Installer Settings file,3801,
qpw,"Quattro Pro Spreadsheet 9-12, X3, X4",3799,NF00528
tif|tiff,Tagged Image File Format for Image Technology (TIFF/IT),3748,NF00421
prs|pr4,Harvard Graphics Presentation for Windows,3722,NF00489
m,MATLAB Source Code File,3708,
opa,Unidentified,3679,
pict|pct|pic,Macintosh PICT unspecified version,3675,NF00786
prc,Product Representation Compact,3645,NF00388
al,Unidentified,3640,
reg|dat,Windows Registry Files,3636,NF00630
ver,Version Description file,3585,
tl,Unidentified,3519,
cache,Cache file,3513,
f5g,8-bit ASCII Text,3488,
html,Microsoft Front Page Server Extension Configuration,3459,
amd,Unidentified,3458,
msg,Hypertext Markup Language (4.01),3435,
tp,Beyond TV Transport Stream,3406,NF00820
2016,Unidentified,3402,
met,OmniPage Pro Document,3391,
met,8-bit ASCII Text,3391,
met,Met Metafile,3391,
fm3,Lotus 1-2-3 Spreadsheet Formatting file 3.0,3389,NF00776
smcl,Unidentified,3388,
mdi,Microsoft Document Imaging Format,3384,NF00777
wpl,Windows Media Player Playlist,3381,
lbl,dBASE Label File,3356,
f43,8-bit ASCII Text,3281,
f42,8-bit ASCII Text,3281,
f41,8-bit ASCII Text,3281,
f4a,8-bit ASCII Text,3280,
f4r,8-bit ASCII Text,3280,
f4i,8-bit ASCII Text,3280,
f4p,8-bit ASCII Text,3280,
f47,8-bit ASCII Text,3275,
plb,FoxPro Library,3272,
f48,8-bit ASCII Text,3265,
html,8-bit ASCII Text,3258,
oft,Microsoft Outlook File Template,3254,
srs,Unidentified,3254,
gi_,Unidentified,3253,
old,Backup file,3235,
rtm,8-bit ASCII Text,3232,
rte,8-bit ASCII Text,3232,
rte,Revit Template (n/a),3232,
rtt,8-bit ASCII Text,3232,
rt3,8-bit ASCII Text,3232,
f45,8-bit ASCII Text,3229,
